id;nombre_carrera;modalidad;facultad
1;Ensalada Canarias;neural quantify Camino;Salud input
2;Account withdrawal Moda;Personal deposit Extremadura;Multi quantifying Tácticas
3;Acero;Borders;Camiseta
4;solid Futuro;Madera pixel;Ucrania
5;radical integrate estructura;Paradigma coherente Cuesta;Principado
6;Increible Sorprendente;Guantes Futuro Creativo;circuit Intercambiable
7;Amarillo Tenge;Pantalones Pequeño;Azul copying THX
8;enterprise;Interno Hormigon Avon;metrics
9;RSS;Blanco SMTP;demanda
10;Artesanal up users;Horizontal optical;Serbian
