id;fecha_ingreso;semestre_inscripcion;tipo_ingreso
1;2023-05-29T04:48:52;Nacional;Versatil Tunez overriding
2;2023-05-29T20:06:59;web-enabled FTP multimedia;Parafarmacia
3;2023-05-29T13:44:37;array;Rústico PCI Representante
4;2023-05-29T19:16:35;syndicate portals;port CSS microchip
5;2023-05-29T09:00:37;Ladrillo;adaptador calculate
6;2023-05-29T06:32:58;Metal;División copy
7;2023-05-29T09:10:49;Cliente;deposit invoice
8;2023-05-29T22:39:31;Teclado;web-readiness
9;2023-05-29T06:59:00;Investment transform;PCI deposit Programable
10;2023-05-29T13:23:41;Guapa Metal;Central recontextualize Ensalada
