id;nombre_sede;direccion_sede;regional
1;Programa state Librería;e-services Rojo;frictionless
2;program Videojuegos XML;Cataluña;generate
3;Savings Perú;copy Croacia medición;open-source
4;Tácticas óptima;withdrawal;Market Algodón Galicia
5;invoice Vasco;relationships Papelería;neural Cine
6;Morado sistema;Patatas Blanco Borders;Distrito Indonesia Práctico
7;Quinta SMTP Calidad;markets;Guapo index interfaz
8;bandwidth bus Cataluña;arquitectura Portugal;Intuitivo Hogar infrastructures
9;Galicia;bypassing Sorprendente Pound;Guapa
10;Explanada bluetooth;Cine Edificio;Investigación Fantástico Comunidad
